X,Y,OBJECTID,ID,EXTERNO,DIRECCION,LOCALIDAD,EQUIPO,NUMEROINTERSECCIONES_POREQUIPO,UBICACIONEQUIPO,FECHAINSTALACION,OPERACIONACTUAL,FUNCIONAMIENTO,IMPLEMENTACION,TIPOINTERSECCION,GRUPOSENALES,TOTALGRUPOSENALES,NUMEROFASES,GRUPOSVEHICULARES,GRUPOS_BRT,GRUPOSPEATONALES,GRUPOSSONOROS,GRUPOSCICLISTAS,CANTIDADCONTADORES,FUNCIONDETECTORES,ZONAAUTOMATICA
-74.08870592,4.648688988,972,582,2424,KR 54 X AC 53,TEUSAQUILLO,ACTROS,SENCILLA,SI,2006/10/12 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",8,8,3,"1,3,4,92",N/A,"21,23,24,292",N/A,NO,0,"Brechas, Fases por demanda",2317
-74.09317446,4.651869331,973,621,2425,AK 60 X AC 53,TEUSAQUILLO,ACTROS,SENCILLA,SI,1986/12/11 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",20,20,4,"1,2,3,4,11,12,13,14,94",N/A,"21,23,24,294,312,313,314 (Reg)",N/A,"41,42,43,44",14,N/A,2317
-74.06966205,4.63894799100001,974,360,2435,KR 17 X CL 51,TEUSAQUILLO,ACTROS,SENCILLA,SI,1997/03/30 00:00:00+00,NORMAL,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL",4,4,2,"2,4",N/A,"22,24",N/A,NO,0,N/A,2811
-74.07196538,4.63491680999999,975,410,2438,TV 19BIS X DG 45D,TEUSAQUILLO,NO,DOBLE,NO,1994/05/11 00:00:00+00,NORMAL,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL",6,12,3,"1,4,13",N/A,"21,34,213",N/A,NO,0,N/A,2811
-74.07247213,4.635573669,976,422,2438,TV 20 X DG 45D,TEUSAQUILLO,C900,DOBLE,SI,1994/05/11 00:00:00+00,NORMAL,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL",6,12,3,"2,3,14",N/A,"22,33,214",N/A,NO,0,N/A,2811
-74.11086367,4.68434041199998,977,1144,2482,TV 85 X CL 64BBIS,ENGATIVA,C900,SENCILLA,SI,2009/03/03 00:00:00+00,NORMAL,R-TF,DEFINITIVA,"VEHICULAR, PEATONAL",4,4,3,"1,2,6",N/A,21,N/A,NO,0,N/A,2302
-74.11790935,4.69487748099999,978,762,2483,AK 96 X CL 66A,ENGATIVA,C900,SENCILLA,SI,1998/02/25 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",17,17,4,"1,3,4,5,11,92",N/A,"21,23,34,311,292",N/A,"41,42,43,44,412,44A",0,N/A,2312
-74.11321482,4.68537986000001,979,744,2530,AK 86 X CL 64BBIS,ENGATIVA,ACTROS,DOBLE,SI,2000/04/13 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,12,2,"1,4,12",N/A,"21,24,34",N/A,NO,0,"Conteo, Brechas, Fases por demanda peatonal",2305
-74.11369537,4.68488260800001,980,747,2530,AK 86 X DG 63F,ENGATIVA,NO,DOBLE,NO,2000/04/13 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,12,3,"2,3,11",N/A,"22,23,311",N/A,NO,0,"Conteo, Brechas",2305
-74.11677092,4.68164683399999,981,1627,2534,AK 86 X CL 52A,ENGATIVA,ACTROS,SENCILLA,SI,2019/03/12 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",15,15,4,"1,2,93",N/A,"21,21BL,22,22BL,291,291BL,293,293BL","721, 722, 7291, 7293",NO,0,"Conteo, Brechas",2305
-74.11076387,4.68794646999999,982,731,2550,AK 86 X CL 65BIS,ENGATIVA,ACTROS,SENCILLA,SI,2000/05/26 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",9,9,2,"1,2,93,94",N/A,"21,22,23,292,294",N/A,NO,0,Brechas,2305
-74.10758477,4.69282772499997,983,714,2560,AK 86 X CL 69B,ENGATIVA,ACTROS,SENCILLA,SI,2000/05/10 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,EXCLUSIVA PEATONAL,3,3,2,"1,2",N/A,22,N/A,NO,0,"Cola - Siguiente Intersección, Fases por demanda peatonal",2305
-74.10073442,4.63549899999998,984,678,2670,AK 50 X AC 22,PUENTE ARANDA,C900,SENCILLA,SI,2004/09/15 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",8,8,3,"1,2,3,4",N/A,"21,32",N/A,"41, 42",0,"Brechas, Fases por demanda peatonal sonoro",2435
-74.07416259,4.64073605300001,985,467,2685,AK 24 X CL 52,TEUSAQUILLO,ACTROS,DOBLE,SI,1990/07/01 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",10,21,3,"1,3,12",N/A,"21,23,33,212","721, 733, 7212",NO,0,"Conteo, Brechas, Fases por demanda peatonal sonoro",2811
-74.07432139,4.63975309400001,986,472,2685,AK 24 X CL 51,TEUSAQUILLO,NO,DOBLE,NO,1990/07/01 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",11,21,3,"2,4,11",N/A,"22,24,34,211","722, 724, 734, 7211",NO,0,"Conteo, Brechas, Fases por demanda peatonal sonoro",2811
-74.07448405,4.63877228500002,987,476,2686,AK 24 X CL 50,TEUSAQUILLO,ACTROS,SENCILLA,SI,1998/08/02 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",5,5,3,"1,2,3",N/A,"21,23",N/A,NO,0,"Conteo, Brechas",2811
-74.13756195,4.60747763900002,988,1493,3802,KR 68I X CL 37B S,KENNEDY,ACTROS,SENCILLA,SI,2016/09/20 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",15,15,4,"1,2,3,4,5",N/A,"21,22,23,24,32","721, 722, 723, 724, 732",NO,0,Activación de sonoro,3521
-74.18220078,4.611136687,989,1080,3804,KR 80H X CL 59 S,BOSA,C900,SENCILLA,SI,2017/11/30 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",9,9,2,"3,4,92",N/A,"23,24,292","723, 724, 7292",NO,0,Activación de sonoro,3419
-74.13445414,4.600823031,990,815,3807,AK 68 X CL 40 S,KENNEDY,C900,SENCILLA,SI,1995/01/06 00:00:00+00,PMT,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",7,7,2,"1,2,5",N/A,"22,31",N/A,"41, 42",0,N/A,3502
-74.1508883,4.59550155800002,991,1116,3808,KR 62A X CL 45A S,TUNJUELITO,ACTROS,SENCILLA,SI,2006/01/12 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,6,2,"3,4","3B, 4B","23,24 ",N/A,NO,0,"Cola - Siguiente Intersección, Fases por demanda peatonal",3506
-74.13780731,4.59546619899999,992,826,3809,AK 68 X CL 45A S,TUNJUELITO,NO,CUADRUPLE,NO,2005/04/22 00:00:00+00,PMT,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",6,21,3,"93,911A",N/A,"293,2911A",72911A Desconectados,NO,0,Activación de sonoro,3503
-74.13781756,4.59477088599999,993,1145,3809,KR 53 X CL 45A S,TUNJUELITO,C900,CUADRUPLE,SI,2005/04/22 00:00:00+00,PMT,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",4,21,2,"2,111",N/A,22,722 Desconectados,NO,0,Activación de sonoro,3503
-74.13825647,4.59530599800001,994,1507,3809,CL 40 SUR X AC 45A SUR,KENNEDY,NO,CUADRUPLE,NO,2023/01/18 00:00:00+00,PMT,BT-TF,PROVISIONAL_PMT,"VEHICULAR, PEATONAL",9,21,2,"11,12,11A",N/A,"212,211A","7212,7211A Desconectados","411,42",0,N/A,3503
-74.137535,4.59638100000001,995,1826,3809,AK 68 X CL 43 SUR,TUNJUELITO,NO,CUADRUPLE,NO,2024/06/14 00:00:00+00,PMT,BT-TF,PROVISIONAL_PMT,"VEHICULAR, CICLISTA",3,21,2,1,N/A,N/A,N/A,NO,0,N/A,3503
-74.15809767,4.59616101799998,996,1119,3810,KR 67 X AC 57R S,CIUDAD BOLIVAR,ACTROS,SENCILLA,SI,1998/12/09 00:00:00+00,PMT,CA-TA,DEFINITIVA,EXCLUSIVA PEATONAL,7,7,2,"3,8,92","3B,4B","38, 292",N/A,NO,0,"Conteo, Brechas, Cola - Siguiente Intersección",3506
-74.15382108,4.596326476,997,876,3811,KR 63 X AC 57R S,CIUDAD BOLIVAR,ACTROS,DOBLE,SI,1993/12/10 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",11,18,2,"3,4,7,15","3B,4B","23,33B,34A,37,215",N/A,NO,0,"Conteo, Brechas, Cola - Siguiente Intersección",3506
-74.15390828,4.59735178099999,998,1697,3811,KR 63 X Entrada a MAKRO,CIUDAD BOLIVAR,NO,DOBLE,NO,2020/10/30 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,18,3,"5,92,3C,4C,4D",N/A,23C,723C,NO,0,N/A,3506
-74.15460407,4.599891689,999,882,3814,KR 63 X CL 57B S,BOSA,C900,SENCILLA,SI,2004/05/14 00:00:00+00,NORMAL,RP-TF,DEFINITIVA,EXCLUSIVA VEHICULAR,2,2,2,"2,5",N/A,N/A,N/A,NO,0,N/A,3506
-74.10085919,4.568764219,1000,1007,3815,AK 10 X CL 31 S,SAN CRISTOBAL,ACTROS,SENCILLA,SI,2012/06/15 00:00:00+00,NORMAL,CA-TA,DEFINITIVA,"VEHICULAR, PEATONAL",7,7,3,"1,2,4,5","5B,94B#",34,N/A,NO,0,"Conteo, Brechas, Fases por demanda",3606
-74.15086834,4.603423663,1001,867,3816,KR 72J X CL 45 S,KENNEDY,ACTROS,SENCILLA,SI,2004/05/13 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,EXCLUSIVA VEHICULAR,4,4,3,"1,2,3,4",N/A,N/A,N/A,NO,0,N/A,3519
-74.10572252,4.57278532100003,1002,1293,3817,KR 12D X CL 31A S,RAFAEL URIBE,ACTROS,SENCILLA,SI,2012/12/27 00:00:00+00,NORMAL,BT-TA,DEFINITIVA,"VEHICULAR, PEATONAL",9,9,5,"1,2,2A,3,4",N/A,"22,22A,23,24",N/A,NO,0,"Brechas, Fases por demanda, Fases por demanda peatonal",3617
-74.08896971,4.56242456000001,1003,968,3825,AK 4 ESTE X CL 29 S,SAN CRISTOBAL,C900,SENCILLA,SI,2006/10/20 00:00:00+00,NORMAL,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",7,7,4,"1,2,3,4",N/A,"21,22,24",N/A,NO,0,N/A,3611
-74.09153464,4.57263901900001,1004,972,3826,KR 6 X CL 22 S,SAN CRISTOBAL,C900,SENCILLA,SI,1998/08/05 00:00:00+00,Desvío - PMT,RP-TF,DEFINITIVA,"VEHICULAR, PEATONAL",6,6,2,"2,3,4",N/A,"22,24,33",N/A,NO,0,N/A,3606
-74.08911725,4.57594827299999,1005,964,3827,KR 6 X CL 17 S,SAN CRISTOBAL,C900,SENCILLA,SI,1993/12/20 00:00:00+00,NORMAL,RP-TA,DEFINITIVA,"VEHICULAR, PEATONAL, CICLISTA",8,8,4,"2,3,6",N/A,"22,23","722,723",42,0,Fases por demanda peatonal sonoro,3606
-74.09474269,4.56930352500001,1006,978,3828,KR 6 X CL 27 S,SAN CRISTOBAL,C900,SENCILLA,SI,2006/10/18 00:00:00+00,NORMAL,RP-TF,DEFINITIVA,EXCLUSIVA PEATONAL,2,2,2,3,N/A,23 (Exc),N/A,NO,0,N/A,3606
-74.09380037,4.57024428800003,1007,977,3829,KR 6 X CL 25 S,SAN CRISTOBAL,C900,SENCILLA,SI,1993/12/20 00:00:00+00,NORMAL,RP-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,6,3,"2,4",N/A,"22,24,32,34",N/A,NO,0,"Brechas, Fases por demanda, Fases por demanda peatonal",3606
-74.09606309,4.56735277299998,1008,1222,3830,KR 5A X CL 30A S,SAN CRISTOBAL,C900,SENCILLA,SI,2011/06/23 00:00:00+00,NORMAL,RP-TA,DEFINITIVA,"VEHICULAR, PEATONAL",6,6,3,"1,3,4",N/A,"21,23,24",N/A,NO,0,"Brechas, Fases por demanda, Fases por demanda peatonal",3606
-74.11546361,4.59235836900001,1009,1043,3831,KR 30 X CL 30 S,ANTONIO NARINO,C900,SENCILLA,SI,1993/12/21 00:00:00+00,Desvío - PMT,BT-TF,DEFINITIVA,"VEHICULAR, PEATONAL",10,10,3,"1,2,3,4,11,12",N/A,"22,24,33,311",N/A,NO,0,"Conteo, Brechas",3622
